CustomerID,InvoiceNo,InvoiceDate,Description,Quantity,UnitPrice,Total_Price_LKR,District
C1001,INV5001,2026-01-10 10:30:00,Dilmah Ceylon Tea 500g,2,1200.00,2400.00,Colombo
C1002,INV5002,2026-01-10 11:15:00,Munchee Super Cream Cracker 500g,5,450.00,2250.00,Gampaha
C1003,INV5003,2026-01-11 09:45:00,Spa Ceylon Sleep Body Lotion,1,3500.00,3500.00,Kandy
C1004,INV5004,2026-01-11 14:20:00,Link Samahan Box (100 Packets),3,1500.00,4500.00,Galle
C1001,INV5005,2026-01-12 16:10:00,MD Mixed Fruit Jam 500g,2,650.00,1300.00,Colombo
C1005,INV5006,2026-01-12 17:00:00,Siddhalepa Balm 50g,4,250.00,1000.00,Matara
C1006,INV5007,2026-01-13 10:05:00,Elephant House Ginger Beer 1.5L,10,400.00,4000.00,Kurunegala
C1007,INV5008,2026-01-13 12:30:00,Maliban Marie Biscuits 400g,6,350.00,2100.00,Anuradhapura
C1008,INV5009,2026-01-14 08:50:00,Anchor Milk Powder 400g,2,1150.00,2300.00,Jaffna
C1009,INV5010,2026-01-14 11:20:00,Kithul Treacle 750ml,1,1800.00,1800.00,Kandy
C1010,INV5011,2026-01-15 15:45:00,Raththi Milk Powder 400g,3,1100.00,3300.00,Trincomalee
C1002,INV5012,2026-01-15 18:00:00,Keells Chicken Sausages 500g,4,950.00,3800.00,Gampaha
C1011,INV5013,2026-01-16 09:15:00,Munchee Lemon Puff 200g,10,200.00,2000.00,Colombo
C1012,INV5014,2026-01-16 13:40:00,Dilmah Earl Grey Tea 50 Bags,2,850.00,1700.00,Galle
C1003,INV5015,2026-01-17 10:25:00,Spa Ceylon Hand Cream,2,2200.00,4400.00,Kandy
